Categoria;Marca;Modelo;Versão;Motor;Tipo de Propulsão;Transmissão;Ar Condicionado;Direção Assistida;Combustível;Poluentes(NMOG+NOx [mg/km]);Poluentes(CO [mg/km]);Poluentes(CHO [mg/km]);Redução Relativa ao Limite;Gás Efeito Estufa (Etanol [CO2 fóssil] [g/km]);Gás Efeito Estufa (Gasolina ou Diesel [CO2 fóssil] [g/km]);Gás Efeito Estufa (VEHP [CO2 fóssil] [g/km]);Km - (Etanol[Cidade][km/l]);Km - (Etanol[Estrada][km/l]);Km - (Gasolina ou Diesel[Cidade][km/l]);Km - (Gasolina ou Diesel[Estrada][km/l]);Km - (Elétrico quando VE ou VEHP [Cidade][km/le]);Km - (Elétrico quando VE ou VEHP [Estrada][km/le]);Consumo Energético;Autonomia modo Elétrico;Classificação PBE (Comparação Relativa);Classificação PBE (Absoluta na Categoria);Selo CONPET de Eficiência Energética;
Médio;Nissan;Versa;ADVANCE;1.6-16V;Combustão;CVT;S;E;F;28;204;2;B;0;102;\;8,1;10,5;11,8;15,0;\;\;1,66;\;B;C;-;
Médio;PEUGEOT;E2008;GT;Elétrico;Elétrico;A-1;S;E;E;ND;ND;ND;A;\;-;\;\;\;\;\;38,0;35,1;0,55;234;A;A;-;
Médio;Renault;Logan;ZEN16CVT;1.6-16V;Combustão;CVT;S;E-H;F;41;223;4;B;0;119;\;7,4;8,5;10,7;12,2;\;\;1,92;\;E;C;-;
Médio;Renault;Logan;LIFE;1.0-12V;Combustão;M-5;S;E-H;F;50;255;2;B;0;95;\;9,6;9,8;13,6;14,4;\;\;1,53;\;A;C;-;
Médio;Renault;Logan;ZEN;1.0-12V;Combustão;M-5;S;E-H;F;50;255;2;B;0;95;\;9,6;9,8;13,6;14,4;\;\;1,53;\;A;C;-;
Médio;Renault;Zoe;NEOINT;Elétrico;Elétrico;A;S;E;E;ND;ND;ND;A;\;-;\;\;\;\;\;34,4;27,4;0,66;254;A;A;-;
Médio;Renault;Mégane;E-Tech;Elétrico;Elétrico;A;S;E;E;ND;ND;ND;A;\;-;\;\;\;\;\;41,4;38,8;0,51;337;A;A;-;
Médio;TOYOTA;YARISHATCHBACK;XS;1.5-16V;Combustão;CVT;S;E;F;36;315;2;B;0;103;\;8,9;10,0;12,2;13,8;\;\;1,63;\;B;C;-;
Médio;TOYOTA;YARISHATCHBACK;XL;1.5-16V;Combustão;CVT;S;E;F;36;315;2;B;0;103;\;8,9;10,0;12,2;13,8;\;\;1,63;\;B;C;-;
Médio;TOYOTA;YARISHATCHBACK;XLS(MY2024);1.5-16V;Combustão;CVT;S;E;F;36;315;2;B;0;103;\;8,9;10,0;12,2;13,8;\;\;1,63;\;B;C;-;
Médio;TOYOTA;YARISSEDÃ;XS;1.5-16V;Combustão;CVT;S;E;F;38;319;2;B;0;97;\;9,2;10,6;12,7;14,9;\;\;1,55;\;B;C;-;
Médio;TOYOTA;YARISSEDÃ;XL;1.5-16V;Combustão;CVT;S;E;F;38;319;2;B;0;97;\;9,2;10,6;12,7;14,9;\;\;1,55;\;B;C;-;
Médio;TOYOTA;YARISSEDÃ;XLS(MY2024);1.5-16V;Combustão;CVT;S;E;F;38;319;2;B;0;97;\;9,2;10,6;12,7;14,9;\;\;1,55;\;B;C;-;
Médio;VOLVO;EX30;E40CORE;Elétrico;Elétrico;A;S;E;E;ND;0;0;A;\;\;\;\;\;\;\;40,1;33,9;0,55;250;A;A;-;
Médio;VOLVO;EX30;E60ULTRA;Elétrico;Elétrico;A;S;E;E;ND;0;0;A;\;\;\;\;\;\;\;43,2;35,3;0,52;338;A;A;-;
Médio;VOLVO;EX30;E60PLUS;Elétrico;Elétrico;A;S;E;E;ND;0;0;A;\;\;\;\;\;\;\;43,2;35,3;0,52;338;A;A;-;
Médio;VOLVO;EX30;E60CORE;Elétrico;Elétrico;A;S;E;E;ND;0;0;A;\;\;\;\;\;\;\;43,2;35,3;0,52;338;A;A;-;
Médio;VW;POLO;TRACKMPI (MY23);1.0-12V;Combustão;M -5;S;E;F;47;227;4;B;0;93;\;9,3;10,5;13,5;15,0;\;\;1,51;\;A;B;SIM;
